model,display_name,feature_level,sample_size,delta125_mean,delta125_std,full_delta125,delta_abs_gap,delta_relative_gap,absrel_mean,absrel_std,full_absrel,absrel_abs_gap,absrel_relative_gap,mae_mean,mae_std
cut3r_spatialstack_44323703,SpatialStack 0/1/2,projected_features,25,0.4913864533106486,0.00572378053272065,0.603508,0.11212154668935143,0.18578303301588614,0.3029598792394002,0.008985843146985511,0.231073,0.07188687923940021,0.31110029834467984,0.51086855225457,0.004438626466788577
cut3r_spatialstack_44323703,SpatialStack 0/1/2,projected_features,100,0.5436493158340454,0.0028104855592604966,0.603508,0.059858684165954634,0.09918457446455495,0.2732150157292684,0.004469017542430285,0.231073,0.04214201572926837,0.18237533476117232,0.4562775032802067,0.0010093395615910924
cut3r_spatialstack_44323703,SpatialStack 0/1/2,projected_features,200,0.5628678997357687,0.00333474867864228,0.603508,0.04064010026423137,0.06733978715150647,0.25722719232241315,0.004861281970991504,0.231073,0.026154192322413145,0.11318584309899099,0.4351361793624826,0.0013005822537104441
cut3r_spatialstack_44323703,SpatialStack 0/1/2,projected_features,400,0.5907572905222574,0.0033996310905224127,0.603508,0.012750709477742594,0.021127656100238264,0.24654502669970194,0.0022467381933851493,0.231073,0.015472026699701935,0.06695731089180447,0.4124759269220358,0.0022901057016329715
cut3r_spatialstack_44323703,SpatialStack 0/1/2,layer_0,25,0.9705905914306641,0.0010055897818244074,0.99388,0.023289408569335923,0.02343281741189673,0.07035610328118007,0.0016844742361720815,0.039893,0.03046310328118007,0.7636202662416983,0.1335797188191338,0.0014571219170601438
cut3r_spatialstack_44323703,SpatialStack 0/1/2,layer_0,100,0.9862667719523112,0.0015207190442528362,0.99388,0.007613228047688825,0.007660107908086313,0.055021354307730995,0.001987436009190097,0.039893,0.015128354307730997,0.3792232799671872,0.10180795220870571,0.003890739039411909
cut3r_spatialstack_44323703,SpatialStack 0/1/2,layer_0,200,0.9889764388402303,0.0004103916371865445,0.99388,0.004903561159769643,0.0049337557449286055,0.04939742634693781,0.0008469606338813319,0.039893,0.009504426346937815,0.2382479719985415,0.09113657822847106,0.0017349762548922265
cut3r_spatialstack_44323703,SpatialStack 0/1/2,layer_0,400,0.9907828569412231,0.00047185235784855383,0.99388,0.003097143058776841,0.0031162142902330676,0.046877012898524605,0.0011383410179119514,0.039893,0.006984012898524607,0.17506863105117706,0.08545592664760511,0.0030206238301301257
cut3r_spatialstack_44323703,SpatialStack 0/1/2,layer_1,25,0.9917653600374857,0.00047710427734759227,0.999207,0.007441639962514235,0.007447545866386279,0.04851223776737849,0.0005291864911957916,0.024927,0.023585237767378486,0.946172333910157,0.09318797323046689,0.0018916549262155218
cut3r_spatialstack_44323703,SpatialStack 0/1/2,layer_1,100,0.9971229434013367,0.0002842206158802031,0.999207,0.0020840565986632864,0.002085710567143031,0.034667604913314186,0.0011565368171607688,0.024927,0.009740604913314185,0.39076523100710814,0.06447969294422956,0.0014896060631107348
