model,display_name,feature_level,sample_size,subset_sha256_seed_0,subset_sha256_seed_1,subset_sha256_seed_2,delta125_seed_0,delta125_seed_1,delta125_seed_2,delta125_mean,delta125_std,full_delta125,delta125_signed_gap,delta125_absolute_gap,delta125_relative_gap,absrel_seed_0,absrel_seed_1,absrel_seed_2,absrel_mean,absrel_std,full_absrel,absrel_signed_gap,absrel_absolute_gap,absrel_relative_gap,mae_seed_0,mae_seed_1,mae_seed_2,mae_mean,mae_std
cut3r_spatialstack_44323703,SpatialStack 0/1/2,projected_features,200,41c98a12df9ff81c2777475019d43a153cb65174b56cc7cf06c6b2c13d14e67d,f3ad3624e8243a7183a60ada8f4037f96e06902f6372d8ba0c652df1c0c538c9,40f5aa77baea685f0c6ba25ab020e4752a31d09e425cf07ffd26bdb231994ac8,0.5605107545852661,0.5614095330238342,0.5666834115982056,0.5628678997357687,0.00333474867864228,0.603508,-0.04064010026423137,0.04064010026423137,0.06733978715150647,0.25361838936805725,0.2553080916404724,0.2627550959587097,0.25722719232241315,0.004861281970991504,0.231073,0.026154192322413145,0.026154192322413145,0.11318584309899099,0.4339973834524753,0.43655344057602474,0.43485771405894774,0.4351361793624826,0.0013005822537104441
cut3r_spatialstack_44323703,SpatialStack 0/1/2,projected_features,400,131b47a3f9cb581d0eb96121688b7c80df450bb576555be979d610d04c50ea19,131b47a3f9cb581d0eb96121688b7c80df450bb576555be979d610d04c50ea19,131b47a3f9cb581d0eb96121688b7c80df450bb576555be979d610d04c50ea19,0.5911362171173096,0.5939515829086304,0.5871840715408325,0.5907572905222574,0.0033996310905224127,0.603508,-0.012750709477742594,0.012750709477742594,0.021127656100238264,0.24399852752685547,0.24738892912864685,0.24824762344360352,0.24654502669970194,0.0022467381933851493,0.231073,0.015472026699701935,0.015472026699701935,0.06695731089180447,0.4110157486499207,0.4112966984614416,0.4151153336547451,0.4124759269220358,0.0022901057016329715
cut3r_spatialstack_44323703,SpatialStack 0/1/2,layer_0,25,1ccaf3081f2fded5f3ae55fc9a43d0a57dca69a9ae12bbea1cfa392eb8931463,8deb91b1e559a4619629f0d4e1ce431bbdd7c5e2f40fc619626a7cc8a1fb82c5,f2299cb95fd51f374666233fa3db1b70039edfdcdc9c72f1d6011367b6537fbd,0.9696124792098999,0.9705377221107483,0.971621572971344,0.9705905914306641,0.0010055897818244074,0.99388,-0.023289408569335923,0.023289408569335923,0.02343281741189673,0.07230071723461151,0.06934759020805359,0.06942000240087509,0.07035610328118007,0.0016844742361720815,0.039893,0.03046310328118007,0.03046310328118007,0.7636202662416983,0.1352023242883076,0.13238297101747187,0.13315386115162195,0.1335797188191338,0.0014571219170601438
cut3r_spatialstack_44323703,SpatialStack 0/1/2,layer_0,100,d1d499ad2719087570ee5022eaa1cc03fe505b3b32ef5a15cfbd5b85ed4ba990,0b3645f3995f33cc2eee6a487e54c05468e28f9ff27c72aad82f67d29d1facd7,0408acd048b7b6051b9bb1b0f0b7f70d2bcdd6518c126120930ca83d6ff9b7d8,0.9860949516296387,0.9848392605781555,0.9878661036491394,0.9862667719523112,0.0015207190442528362,0.99388,-0.007613228047688825,0.007613228047688825,0.007660107908086313,0.05469004809856415,0.057153623551130295,0.053220391273498535,0.055021354307730995,0.001987436009190097,0.039893,0.015128354307730997,0.015128354307730997,0.3792232799671872,0.10145057254882825,0.10586505152022749,0.09810823255706139,0.10180795220870571,0.003890739039411909
cut3r_spatialstack_44323703,SpatialStack 0/1/2,layer_0,200,41c98a12df9ff81c2777475019d43a153cb65174b56cc7cf06c6b2c13d14e67d,f3ad3624e8243a7183a60ada8f4037f96e06902f6372d8ba0c652df1c0c538c9,40f5aa77baea685f0c6ba25ab020e4752a31d09e425cf07ffd26bdb231994ac8,0.9885534644126892,0.9890028834342957,0.989372968673706,0.9889764388402303,0.0004103916371865445,0.99388,-0.004903561159769643,0.004903561159769643,0.0049337557449286055,0.050147995352745056,0.04956512153148651,0.04847916215658188,0.04939742634693781,0.0008469606338813319,0.039893,0.009504426346937815,0.009504426346937815,0.2382479719985415,0.09298105845935907,0.09089151025763825,0.08953716596841585,0.09113657822847106,0.0017349762548922265
cut3r_spatialstack_44323703,SpatialStack 0/1/2,layer_0,400,131b47a3f9cb581d0eb96121688b7c80df450bb576555be979d610d04c50ea19,131b47a3f9cb581d0eb96121688b7c80df450bb576555be979d610d04c50ea19,131b47a3f9cb581d0eb96121688b7c80df450bb576555be979d610d04c50ea19,0.9902849793434143,0.9912234544754028,0.9908401370048523,0.9907828569412231,0.00047185235784855383,0.99388,-0.003097143058776841,0.003097143058776841,0.0031162142902330676,0.04799628257751465,0.04572051391005516,0.046914242208004,0.046877012898524605,0.0011383410179119514,0.039893,0.006984012898524607,0.006984012898524607,0.17506863105117706,0.08800862159942792,0.08212118667137853,0.08623797167200889,0.08545592664760511,0.0030206238301301257
cut3r_spatialstack_44323703,SpatialStack 0/1/2,layer_1,25,1ccaf3081f2fded5f3ae55fc9a43d0a57dca69a9ae12bbea1cfa392eb8931463,8deb91b1e559a4619629f0d4e1ce431bbdd7c5e2f40fc619626a7cc8a1fb82c5,f2299cb95fd51f374666233fa3db1b70039edfdcdc9c72f1d6011367b6537fbd,0.992122232913971,0.9919503927230835,0.9912234544754028,0.9917653600374857,0.00047710427734759227,0.999207,-0.007441639962514235,0.007441639962514235,0.007447545866386279,0.04910435155034065,0.04808545485138893,0.048346906900405884,0.04851223776737849,0.0005291864911957916,0.024927,0.023585237767378486,0.023585237767378486,0.946172333910157,0.09416064261079175,0.09100788706287062,0.09439539001773828,0.09318797323046689,0.0018916549262155218
cut3r_spatialstack_44323703,SpatialStack 0/1/2,layer_1,100,d1d499ad2719087570ee5022eaa1cc03fe505b3b32ef5a15cfbd5b85ed4ba990,0b3645f3995f33cc2eee6a487e54c05468e28f9ff27c72aad82f67d29d1facd7,0408acd048b7b6051b9bb1b0f0b7f70d2bcdd6518c126120930ca83d6ff9b7d8,0.9971185326576233,0.9968409538269043,0.9974093437194824,0.9971229434013367,0.0002842206158802031,0.999207,-0.0020840565986632864,0.0020840565986632864,0.002085710567143031,0.0359947495162487,0.03387521952390671,0.03413284569978714,0.034667604913314186,0.0011565368171607688,0.024927,0.009740604913314185,0.009740604913314185,0.39076523100710814,0.06618094403937615,0.0634094432706975,0.063848691522615,0.06447969294422956,0.0014896060631107348
cut3r_spatialstack_44323703,SpatialStack 0/1/2,layer_1,200,41c98a12df9ff81c2777475019d43a153cb65174b56cc7cf06c6b2c13d14e67d,f3ad3624e8243a7183a60ada8f4037f96e06902f6372d8ba0c652df1c0c538c9,40f5aa77baea685f0c6ba25ab020e4752a31d09e425cf07ffd26bdb231994ac8,0.9979115724563599,0.9980570077896118,0.9981627464294434,0.9980437755584717,0.0001261087235061346,0.999207,-0.0011632244415282766,0.0011632244415282766,0.0011641476105834693,0.03114311583340168,0.03076915629208088,0.0308572705835104,0.030923180902997654,0.00019549824116190875,0.024927,0.005996180902997653,0.005996180902997653,0.24054964107183585,0.05779065094526593,0.05705813621887259,0.05746145352785817,0.057436746897332226,0.00036688181924120433
cut3r_spatialstack_44323703,SpatialStack 0/1/2,layer_1,400,131b47a3f9cb581d0eb96121688b7c80df450bb576555be979d610d04c50ea19,131b47a3f9cb581d0eb96121688b7c80df450bb576555be979d610d04c50ea19,131b47a3f9cb581d0eb96121688b7c80df450bb576555be979d610d04c50ea19,0.9987971782684326,0.9988632798194885,0.9989029169082642,0.9988544583320618,5.34184328548819e-05,0.999207,-0.00035254166793818875,0.00035254166793818875,0.00035282145535228313,0.02712067775428295,0.02711259387433529,0.026731355115771294,0.026988208914796512,0.00022247863455625855,0.024927,0.0020612089147965112,0.0020612089147965112,0.08268981083951182,0.04989724407819256,0.05049864610758924,0.049427087783208416,0.04994099265633007,0.0005371170861220566
cut3r_spatialstack_44323703,SpatialStack 0/1/2,layer_6,25,1ccaf3081f2fded5f3ae55fc9a43d0a57dca69a9ae12bbea1cfa392eb8931463,8deb91b1e559a4619629f0d4e1ce431bbdd7c5e2f40fc619626a7cc8a1fb82c5,f2299cb95fd51f374666233fa3db1b70039edfdcdc9c72f1d6011367b6537fbd,0.9969466924667358,0.9959157109260559,0.996959924697876,0.9966074426968893,0.0005990938199233914,0.999855,-0.0032475573031107707,0.0032475573031107707,0.003248028267209516,0.03894214704632759,0.04041838273406029,0.037535615265369415,0.0389653816819191,0.0014415241780330627,0.018918,0.020047381681919097,0.020047381681919097,1.059698788556882,0.0775659800054811,0.07839406266504405,0.07457619867025325,0.07684541378025947,0.0020083408909788185
cut3r_spatialstack_44323703,SpatialStack 0/1/2,layer_6,100,d1d499ad2719087570ee5022eaa1cc03fe505b3b32ef5a15cfbd5b85ed4ba990,0b3645f3995f33cc2eee6a487e54c05468e28f9ff27c72aad82f67d29d1facd7,0408acd048b7b6051b9bb1b0f0b7f70d2bcdd6518c126120930ca83d6ff9b7d8,0.9988500475883484,0.9991408586502075,0.9992465972900391,0.999079167842865,0.00020534661735872447,0.999855,-0.000775832157135059,0.000775832157135059,0.0007759446691120803,0.027617184445261955,0.025804029777646065,0.0285728108137846,0.02733134167889754,0.0014063487020764946,0.018918,0.00841334167889754,0.00841334167889754,0.4447268040436378,0.05306107198459673,0.04934530075652486,0.05313803477255527,0.051848135837892294,0.0021678603278521462
cut3r_spatialstack_44323703,SpatialStack 0/1/2,layer_6,200,41c98a12df9ff81c2777475019d43a153cb65174b56cc7cf06c6b2c13d14e67d,f3ad3624e8243a7183a60ada8f4037f96e06902f6372d8ba0c652df1c0c538c9,40f5aa77baea685f0c6ba25ab020e4752a31d09e425cf07ffd26bdb231994ac8,0.9996960163116455,0.999590277671814,0.9996563196182251,0.9996475378672282,5.341352217636425e-05,0.999855,-0.00020746213277189618,0.00020746213277189618,0.000207492219143672,0.022647395730018616,0.023348061367869377,0.02299439162015915,0.02299661623934905,0.0003503381162735631,0.018918,0.004078616239349048,0.004078616239349048,0.21559447295427886,0.043083738231931214,0.044141611438278064,0.043664191708802244,0.04362984712633718,0.0005297722085341646
cut3r_spatialstack_44323703,SpatialStack 0/1/2,layer_6,400,131b47a3f9cb581d0eb96121688b7c80df450bb576555be979d610d04c50ea19,131b47a3f9cb581d0eb96121688b7c80df450bb576555be979d610d04c50ea19,131b47a3f9cb581d0eb96121688b7c80df450bb576555be979d610d04c50ea19,0.9998546242713928,0.9997885227203369,0.9998413920402527,0.9998281796773275,3.497540083472724e-05,0.999855,-2.682032267253831e-05,2.682032267253831e-05,2.6824212183304888e-05,0.0203469917178154,0.02070019580423832,0.020816631615161896,0.020621273045738537,0.00024456493953921125,0.018918,0.0017032730457385362,0.0017032730457385362,0.09003451980857047,0.03815051913576548,0.03890881290568904,0.039368647481291694,0.03880932650758207,0.0006151278924742637
